firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
SAP,43339, Anonymous Employee,"Current Employee, less than 1 year",,1,1.0,1.0,,1.0,1.0,1.0,x,r,x,Management is out of touch,"Work from home options
Free lunches","The support department feels like a punishment. You receive large volume and are harassed for updates by 4 or 5 different people for most of your tickets. Some issues are technical and require a lot of research and thinking. You can do neither here unless you work extra hours. To make things even more insulting, the people who bother support for updates get paid more than support. Somebody with no technical background at all can get hired on a team called preferred care and their managers reward them for harassing support.

Sales and account representatives lie to customers about functionality and then when the customers get upset we're told that we need better support. Everything falls back on support and all management does is get in our way and make it hard for us to get anything done. Many of the actual issues we troubleshoot have been around since before i started with the company which was years ago. 

When we bring issues up to management we are told that we are being negative and then management just talks about how good we are doing even though its pretty clear that most customers and most employees are miserable. They are out of touch."
SAP,43258, Business Support Specialist,"Current Employee, less than 1 year",Rome,5,4.0,5.0,,5.0,5.0,5.0,v,r,r,Great Company,SAP is a leader of Business Software Solution market,SAP has a very complex burocratic structure
Roche,41242, Key Account Manager,"Former Employee, less than 1 year",Ahmedabad,2,2.0,1.0,,2.0,3.0,2.0,x,r,r,experience of my job,Not satisfied was that company,not good experience  wth that company
Microsoft,42168, Principal Development Manager,"Current Employee, more than 3 years",Hyderābād,3,4.0,4.0,,3.0,4.0,2.0,o,o,o,Great tech company lacks good middle management,Great engineers and has lot of technology,Inability to hold top management caliber at partner and to some extent VP level
Vodafone,43336, Senior Product Marketing Manager,"Current Employee, more than 1 year",Milan,4,1.0,3.0,,4.0,4.0,3.0,x,v,x,good salary but too many work!!,"good salary, good benefits, dynamic environment, growth opportunities","excessive workload, too much competition, no life balance"
Tesco,44172, Customer Assistant,Former Employee,,5,,,,,,,o,o,o,Good company,Nice company with good values,Sometimes can be a bit stressful
Boston-Consulting-Group,41301, Associate,"Former Employee, more than 1 year","Dallas, TX",2,2.0,2.0,,3.0,4.0,3.0,x,v,r,"Long hours, low predictability, and internal politics outweighed positive aspects","-Intelligent coworkers
- Ample compensation
- Great health benefits
- Career opportunities and experiences for some
- More exposure and autonomy than many jobs will afford you
- Invaluable connections","- Can't have much of a life outside of work b/c long hours are compounded by unpredictable work schedules and travel
- The politics of the staffing system in Dallas prioritizes alliances and perception as much as, if not more than, actual work product
- Relatedly, widely variant outcomes for quality of case experience depending on the individual; not everyone is given an equal chance to succeed, and individual fate can be based on subjective factors
- Women are disadvantaged both because of the low numbers of women in the South and bc of the presiding culture in the Dallas office"
Iron-Mountain-Inc,42340, ,Current Employee,,2,,,,,,,v,v,v,Nice place to work,Good place to work. Friendly management,No WFH option for few teams.
BT,44351, Business Analyst,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",5,4.0,5.0,5.0,5.0,5.0,3.0,v,v,v,Find a best fitment,"BT is a place that helps you to work in great diversity, allows you to explore the domain. give you space to speak your mind.",I feel BT is a very professional Organisation so sometimes you feel people are ignorant but that would not be the case.
Deloitte,44204, Senior Consultant,Current Employee,"Arlington, VA",4,,,,,,,o,o,o,4 years in consulting,"- Flexibility in taking vacations
- Merit based promotions",=- a lot of hierarchy
J-P-Morgan,43459, Finance Analyst,"Former Employee, more than 1 year",,3,4.0,2.0,,3.0,4.0,2.0,o,o,o,"If you like a 8 to 5 non-challenging job, JPMC is for you","Flexible work hours, mostly dependent on your manager.  Good pay, good benefits.  Consistent training","Hard to learn and grow, external hires are common.  Hard to change roles."
next,43341, Sales Consultant,"Current Employee, less than 1 year","Nottingham, England, England",4,4.0,4.0,,3.0,5.0,4.0,v,r,v,Great company,"lovely staff to work with, lots of jobs to keep you busy. flexible shifts, work extra if wanted and can take time off if needed. good uniform allowance and discount",pay isn't great considering you're expected to do A LOT. customers can be rude
IBM,40596, Quality Engineer,Former Employee,"London, England, England",4,4.0,,,4.0,3.0,5.0,v,o,o,great place to work,money and the people are great the time off is what you need and the travel with the company,"no home life, company takes over your existance"
Bullhorn,43213, Anonymous Employee,"Current Employee, more than 1 year",Sydney,4,4.0,5.0,,5.0,4.0,4.0,v,v,v,Company keeps growing....,"I genuinely enjoy working here. I am challenged in my role and keep learning so much. The senior leadership truly cares, not evident alone in the nice office/amenities/events we get but in their desire to advance our careers. 

The culture of the office is great. Smart people working well with each other. Love the Allies Board!!!",Acquisitions are a gift and a curse. Growing company comes with growing pains. Slow down maybe? The systems are a mess and it's getting hard to know where to find information.
Deloitte,44127, Executive Assistant,"Current Employee, more than 3 years","Toronto, ON",5,5.0,5.0,5.0,5.0,3.0,5.0,v,v,v,Best place to work,management lead by example; market leader,too many systems; very fast pace of working
Marks-and-Spencer,42832, Head Office Employee,"Former Employee, more than 3 years","London, England, England",4,3.0,4.0,,4.0,4.0,,v,r,r,"Great place to work, full of lots of talented & inspiring people who are very dedicated!","A Much loves British brand, that has the customer at heart. Lots of opportunities to move around the business and work in different areas.","Lots of management layers. 

Often difficult to progress upwards"
Deloitte,44095, Analyst,Former Employee,"New York, NY",5,,,,,,,o,o,o,Great opportunity,"Great mentorship, exposure to senior management, day-to-day variety",N/A - great experience and recommend
Deloitte,42004, Consultant,"Current Employee, less than 1 year",Oslo,4,4.0,4.0,,4.0,4.0,4.0,v,r,r,Review,Have a good working culture.,Have relatively low starting salary.
KPMG,44270, Analyst,"Current Employee, more than 1 year",New Delhi,5,3.0,5.0,5.0,5.0,3.0,2.0,v,v,v,Great company,"Awesome work culture
Great growth opportunity","Management can be improved
Poor work life balance"
KPMG,43633, Analyst,"Former Employee, more than 3 years",,3,4.0,3.0,,3.0,2.0,2.0,x,r,r,Looks good on CV but fails in personal development /progression,"Flexibility, semi good perks, different options for salary sacrifice","No real career progression, salary is on a lower scale, promotion seems to be given if you are well connected"
Barclays,44165, Prime Account Manager,Current Employee,"New York, NY",3,,,,,,,o,o,o,"Stability, but not the best environment to work",Good group of people; many have worked there for a long tenure,"Compensation, bureaucracy, outdated systems, hours"
Dixons-Carphone,44344, Sales Colleague,"Former Employee, more than 5 years",,3,4.0,4.0,5.0,1.0,2.0,1.0,v,r,r,"Great colleagues, unfortunate management","Great camaraderie, awesome products, flexible hours, creative opportunities such as creating bundles and working on pitches. Great place to start as a salesperson and great support from warehouse and Knowhow staff",Store Managers can be petty and would rather give up on you when going through hard times than help you. Dept managers often more sympathetic. Pay isn’t great when compared to similar sales roles especially When you consider the outrageous number of kpis and £10k+ per week targets. You really don’t feel any worth in your role.
Google,41978, Software Engineer,"Current Employee, less than 1 year",Bangalore,5,4.0,4.0,,4.0,5.0,4.0,v,v,v,Great Place,"Good Place to work at.
Nice environment with bunch of smart people.
Excellent food, benefits and other perks.","Poor HR team which plays a big role in deciding your first posting and hence, in a way decides what you'll do initially at Google."
Compass-Group,43341, AV Technician & MML Support,"Former Employee, more than 1 year","San Diego, CA",4,5.0,3.0,,3.0,3.0,3.0,v,r,r,Just a short review,Can work with some good people and companies,Not too great with benefits
Serco-Group,43178, Telecaller,Former Employee,Thāne,4,4.0,4.0,,4.0,4.0,4.0,v,v,v,good place to work,work life balance is good,nothing as such I found
BNY-Mellon,42583, ,Current Employee,,1,,,,,,,o,o,o,Expense management,Time off benefits are good,Off shoring jobs.  Reducing local headcount.
Hilton,43850, Security Guard,"Former Employee, more than 10 years",,5,5.0,5.0,,5.0,5.0,5.0,o,v,o,Security guard,To enhance my career internationally,"Appropriate services , respect all clients"
Co-op,44249, Customer Team Member (CTM),Current Employee,"Newcastle upon Tyne, England, England",4,,,,,,,o,o,o,Good Company to work for.,"Great teams, fair wage. Worked there over three years, I have no complaints.","Obvious cons with general retail work, shift work isn't always for everyone."
IBM,39815, Database Administrator,Current Employee,"Piscataway, NJ",2,1.0,,,2.0,2.0,4.0,x,x,o,Create / Provide More JOBS OPPURTUNITES IN USA,"It is a Global Company, recognised and respected throughout United States of America and globally.  IBM has been in business for a very long time and has several Innovation and research on the pipeline. It is a one of the largest service and technology company. It also exposes to several different sector's, naming a few would be Finance, Automobile, Healthcare, Insurance, Pharma and Biotech.","It is very large and growth has been slow for the united states employees, cut back all the time and it is a survival game.

It would help to keep jobs on shore since the customer and business presence is in the United States."
